user_id,timestamp,ip,country,device,action,resource,status
user42,2025-01-01 09:00:00,10.144.61.207,IN,Chrome,login,drive,success
user37,2025-01-01 09:01:00,10.186.41.16,IN,Firefox,login,crm,success
user45,2025-01-01 09:02:00,10.121.4.103,US,Chrome,login,drive,success
user37,2025-01-01 09:04:00,10.229.11.151,IN,Firefox,login,mail,success
user12,2025-01-01 09:06:00,10.193.113.193,UK,Edge,login,mail,success
user35,2025-01-01 09:09:00,10.118.101.188,US,Edge,login,crm,success
user26,2025-01-01 09:12:00,10.156.106.33,US,Chrome,login,crm,success
user5,2025-01-01 09:15:00,10.16.233.25,US,Edge,login,drive,success
user38,2025-01-01 09:18:00,10.89.126.233,UK,Chrome,login,mail,success
user42,2025-01-01 09:19:00,10.35.33.165,IN,Chrome,login,crm,success
user49,2025-01-01 09:20:00,10.146.179.58,US,Firefox,login,drive,success
user48,2025-01-01 09:20:00,10.6.168.21,UK,Chrome,login,crm,success
user32,2025-01-01 09:23:00,10.145.244.124,IN,Firefox,login,drive,success
user16,2025-01-01 09:25:00,10.50.168.34,IN,Chrome,login,drive,success
user34,2025-01-01 09:28:00,10.225.45.51,IN,Firefox,login,mail,success
user20,2025-01-01 09:30:00,10.33.232.178,UK,Chrome,login,drive,success
user18,2025-01-01 09:30:00,10.126.114.1,IN,Edge,login,drive,success
user10,2025-01-01 09:32:00,10.53.85.60,IN,Chrome,login,mail,success
user35,2025-01-01 09:35:00,10.233.187.141,US,Edge,login,crm,success
user2,2025-01-01 09:35:00,10.208.47.115,US,Chrome,login,mail,success
user26,2025-01-01 09:38:00,10.6.57.178,US,Chrome,login,mail,success
user15,2025-01-01 09:39:00,10.239.80.34,US,Chrome,login,drive,success
user49,2025-01-01 09:40:00,10.14.30.165,US,Firefox,login,crm,success
user36,2025-01-01 09:42:00,10.195.171.204,IN,Firefox,login,crm,success
user50,2025-01-01 09:43:00,10.106.39.198,US,Edge,login,crm,success
user23,2025-01-01 09:47:00,10.185.116.225,IN,Chrome,login,mail,success
user18,2025-01-01 09:47:00,10.99.144.127,IN,Edge,login,drive,success
user20,2025-01-01 09:49:00,10.120.248.196,UK,Chrome,login,mail,success
